[2023-11-01 10:58:15.832] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:15.867] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:15.889] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:15.921] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:15.939] $GPGLL,,,,,000113.870,V,N*76
[2023-11-01 10:58:15.973] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:16.699] $GPRMC,000114.870,V,,,,,0.00,0.00,060180,,,N,V*33
[2023-11-01 10:58:16.753] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:16.794] $GPGGA,000114.870,,,,,0,0,,,M,,M,,*43
[2023-11-01 10:58:16.834] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:16.866] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:16.899] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:16.921] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:16.940] $GPGLL,,,,,000114.870,V,N*71
[2023-11-01 10:58:16.971] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:17.691] $GPRMC,000115.870,V,,,,,0.00,0.00,060180,,,N,V*32
[2023-11-01 10:58:17.752] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:17.795] $GPGGA,000115.870,,,,,0,0,,,M,,M,,*42
[2023-11-01 10:58:17.832] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:17.865] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:17.901] $GPGSV,1,1,00,0*65
