[2023-11-02 19:31:51.122] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.122] $GPGSV,3,1,09,12,83,052,,24,37,160,,06,34,072,23,11,31,116,,0*65
[2023-11-02 19:31:51.122] $GPGSV,3,2,09,32,31,285,39,19,18,049,41,29,16,215,,28,13,313,36,0*64
[2023-11-02 19:31:51.122] $GPGSV,3,3,09,03,05,003,,0*59
[2023-11-02 19:31:51.122] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.122] $GPGLL,,,,,183127.091,V,N*7C
[2023-11-02 19:31:51.122] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 19:31:51.122] $GPRMC,183128.091,V,,,,,0.83,23.71,021123,,,N,V*01
[2023-11-02 19:31:51.122] $GPVTG,23.71,T,,M,0.83,N,1.54,K,N*0E
[2023-11-02 19:31:51.122] $GPGGA,183128.091,,,,,0,0,,,M,,M,,*41
[2023-11-02 19:31:51.122] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 19:31:51.122] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.122] $GPGSV,3,1,09,12,83,052,,24,37,160,,06,34,072,20,11,31,116,17,0*60
[2023-11-02 19:31:51.122] $GPGSV,3,2,09,32,31,285,39,19,18,049,41,29,16,215,,28,13,313,36,0*64
[2023-11-02 19:31:51.136] $GPGSV,3,3,09,03,05,003,,0*59
[2023-11-02 19:31:51.136] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.136] $GPGLL,,,,,183128.091,V,N*73
[2023-11-02 19:31:51.136] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 19:31:51.136] $GPRMC,183129.091,V,,,,,0.08,23.71,021123,,,N,V*03
[2023-11-02 19:31:51.136] $GPVTG,23.71,T,,M,0.08,N,0.15,K,N*09
[2023-11-02 19:31:51.136] $GPGGA,183129.091,,,,,0,0,,,M,,M,,*40
[2023-11-02 19:31:51.136] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 19:31:51.136] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.137] $GPGSV,3,1,09,12,83,052,20,24,37,160,24,06,34,072,23,11,31,116,17,0*67
[2023-11-02 19:31:51.137] $GPGSV,3,2,09,32,31,285,39,19,18,049,41,29,16,215,,28,13,313,36,0*64
[2023-11-02 19:31:51.137] $GPGSV,3,3,09,03,05,003,,0*59
[2023-11-02 19:31:51.137] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.137] $GPGLL,,,,,183129.091,V,N*72
[2023-11-02 19:31:51.137] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 19:31:51.137] $GPRMC,183130.091,V,,,,,0.22,23.71,021123,,,N,V*03
